node_id	pr_value
663930	0.000172774813522096
482708	9.369633443874382e-05
1034017	5.458205071693092e-05
663559	5.018780037479899e-05
357530	4.489034625849467e-05
663605	4.475468297787528e-05
1120567	4.4570404637473723e-05
663682	3.602730789712318e-05
664788	3.53340362774982e-05
1108860	3.469985022224915e-05
